price,volume,hour,date,side
213500.00,0.01405288,14,2019-09-03,sell
213108.84,0.00140629,14,2019-09-03,buy
213500.00,0.00004684,14,2019-09-03,sell
213100.00,0.10492000,14,2019-09-03,buy
213108.84,0.04508000,14,2019-09-03,buy
213117.61,0.01401832,14,2019-09-03,buy
213500.00,0.00884856,14,2019-09-03,sell
213990.00,0.00083080,14,2019-09-03,sell
213500.00,0.31870695,14,2019-09-03,sell
213176.72,0.00018904,14,2019-09-03,buy
213219.63,0.33542111,14,2019-09-03,buy
213219.61,0.09560294,14,2019-09-03,buy
213999.97,0.00085586,14,2019-09-03,sell
213999.98,0.00154054,14,2019-09-03,sell
213990.00,0.00150576,14,2019-09-03,sell
214000.00,0.01507534,14,2019-09-03,sell
213229.14,0.00300000,14,2019-09-03,buy
214000.00,0.00106879,14,2019-09-03,sell
214000.00,0.00347381,14,2019-09-03,sell
214000.00,0.00093458,14,2019-09-03,sell
213239.18,0.04389645,14,2019-09-03,buy
213239.20,0.13747791,14,2019-09-03,buy
213239.19,0.00091564,14,2019-09-03,buy
214000.00,0.00031622,14,2019-09-03,sell
213999.98,0.12130869,14,2019-09-03,sell
213257.14,0.00943971,14,2019-09-03,buy
213257.21,0.00047201,14,2019-09-03,buy
214000.00,0.00134935,14,2019-09-03,sell
214000.00,0.00322430,14,2019-09-03,sell
214000.00,0.18361014,14,2019-09-03,sell
213307.99,0.00283124,14,2019-09-03,buy
213999.98,0.01991351,14,2019-09-03,sell
214000.00,0.00168224,14,2019-09-03,sell
213999.97,0.06671167,14,2019-09-03,sell
214000.00,0.13380969,14,2019-09-03,sell
213408.87,0.00002359,14,2019-09-03,buy
214000.00,0.01873300,14,2019-09-03,sell
214000.00,0.00848100,14,2019-09-03,sell
213999.98,0.09606480,14,2019-09-03,sell
214000.00,0.01873300,14,2019-09-03,sell
212769.68,0.00284036,15,2019-09-03,sell
212769.70,0.00222630,15,2019-09-03,sell
212769.00,0.00903312,15,2019-09-03,sell
212700.00,0.00047015,16,2019-09-03,sell
211665.53,0.00058491,16,2019-09-03,buy
212700.00,0.00414895,16,2019-09-03,sell
212769.70,0.00234996,16,2019-09-03,sell
211677.59,0.00356394,16,2019-09-03,buy
212769.00,0.00102098,16,2019-09-03,buy
211710.12,0.00058479,16,2019-09-03,buy
211520.09,0.00102311,16,2019-09-03,buy
211552.55,0.00209232,16,2019-09-03,buy
211594.05,0.00100848,16,2019-09-03,buy
211606.19,0.00475370,16,2019-09-03,buy
212749.97,0.00094007,16,2019-09-03,sell
211514.78,0.00100886,16,2019-09-03,buy
211500.00,0.00100893,16,2019-09-03,buy
212738.29,0.02115275,16,2019-09-03,sell
211120.94,0.08917966,16,2019-09-03,buy
211500.00,0.01182034,16,2019-09-03,buy
211108.99,0.00101080,16,2019-09-03,buy
211143.31,0.02617260,16,2019-09-03,buy
211214.79,0.02000000,16,2019-09-03,buy
212731.87,0.02536334,16,2019-09-03,sell
212732.25,0.00378132,16,2019-09-03,sell
211226.65,0.00800000,16,2019-09-03,buy
212725.78,0.00611115,16,2019-09-03,sell
211238.18,0.02240000,16,2019-09-03,buy
211247.09,0.00042323,16,2019-09-03,buy
212725.62,0.01305673,16,2019-09-03,sell
212725.63,0.00668701,16,2019-09-03,sell
212725.50,0.00027331,16,2019-09-03,sell
212725.34,0.00376072,16,2019-09-03,sell
211300.06,0.18781247,16,2019-09-03,buy
211300.06,0.00150000,16,2019-09-03,buy
212000.00,0.00151146,16,2019-09-03,sell
212000.00,0.02122642,16,2019-09-03,sell
211300.09,0.00046730,16,2019-09-03,buy
211300.17,0.01400000,16,2019-09-03,buy
211300.38,0.01141648,16,2019-09-03,buy
211300.73,0.03593335,16,2019-09-03,buy
211300.73,0.03448660,16,2019-09-03,buy
212000.00,0.00912685,16,2019-09-03,sell
212725.26,0.00000215,16,2019-09-03,sell
212725.23,0.00409300,16,2019-09-03,sell
211300.04,0.01905428,16,2019-09-03,buy
212706.93,0.02256626,16,2019-09-03,sell
212706.83,0.03761045,16,2019-09-03,sell
212706.83,0.02250912,16,2019-09-03,sell
212706.84,0.00099741,16,2019-09-03,sell
212706.57,0.04789617,16,2019-09-03,sell
212706.58,0.03921980,16,2019-09-03,sell
211308.82,0.00469075,16,2019-09-03,buy
212706.27,0.01046963,16,2019-09-03,sell
212706.26,0.03141019,16,2019-09-03,sell
211257.37,0.00635429,16,2019-09-03,buy
211316.59,0.10000000,16,2019-09-03,buy
211327.87,0.10000000,16,2019-09-03,buy
211342.78,0.04149967,16,2019-09-03,buy
211378.16,0.03809448,16,2019-09-03,buy
212722.19,0.00053747,16,2019-09-03,sell
212706.90,0.00328918,16,2019-09-03,sell
212700.00,0.00222500,16,2019-09-03,sell
212722.22,0.16873947,16,2019-09-03,sell
212722.19,0.02249676,16,2019-09-03,sell
212722.20,0.04146161,16,2019-09-03,sell
211517.52,0.04317106,16,2019-09-03,buy
211669.31,0.19104850,16,2019-09-03,buy
212722.22,0.03290676,16,2019-09-03,sell
212722.22,0.00626954,16,2019-09-03,sell
211784.11,0.01473583,16,2019-09-03,buy
212722.22,0.04786301,16,2019-09-03,sell
212725.33,0.00012477,16,2019-09-03,sell
211831.14,0.00097427,16,2019-09-03,buy
212769.70,0.00003764,16,2019-09-03,sell
212725.33,0.01443903,16,2019-09-03,sell
212769.70,0.04238528,16,2019-09-03,sell
212799.00,0.00011049,16,2019-09-03,sell
212799.00,0.01748264,16,2019-09-03,sell
212800.00,0.00004557,16,2019-09-03,sell
211925.10,0.01425566,16,2019-09-03,buy
212800.00,0.00075249,16,2019-09-03,sell
211945.81,0.00094982,16,2019-09-03,buy
212800.00,0.00234962,16,2019-09-03,sell
212800.00,0.00234962,16,2019-09-03,sell
212800.00,0.00260808,16,2019-09-03,sell
211828.54,0.00047517,16,2019-09-03,buy
211828.49,0.03776641,16,2019-09-03,sell
212900.00,0.00989313,16,2019-09-03,sell
212500.00,0.00057279,16,2019-09-03,sell
212800.00,0.00113927,16,2019-09-03,sell
212900.01,0.00469705,16,2019-09-03,sell
212998.98,0.02156262,16,2019-09-03,sell
211846.33,0.00057016,16,2019-09-03,buy
212998.97,0.00140846,16,2019-09-03,sell
211872.98,0.00213781,16,2019-09-03,buy
211646.99,0.00033076,16,2019-09-03,buy
211655.94,0.09397930,16,2019-09-03,buy
211667.78,0.09990023,16,2019-09-03,buy
212499.99,0.01433883,16,2019-09-03,sell
211517.68,0.00023663,18,2019-09-03,buy
212393.89,0.00470823,18,2019-09-03,sell
211600.00,0.05302975,18,2019-09-03,buy
212396.91,0.05755831,18,2019-09-03,sell
212396.94,1.21364645,18,2019-09-03,sell
211600.00,0.00478793,18,2019-09-03,buy
